f(x) = exp(p0+p1*x)
layer  p0  p1
0 -12.1656 2.21679
1 -11.5412 2.26347
2 -11.4102 2.35964
3 -11.3297 2.43241
4 -11.3809 2.53021
5 -11.4271 2.6069
6 -11.5726 2.70059
7 -11.6744 2.76093
8 -11.8457 2.83272
9 -12.0063 2.89951
10 -12.1514 2.94084
11 -12.2768 2.97649
12 -12.4962 3.02396
13 -12.609 3.03539
14 -12.7915 3.05949
15 -12.9141 3.07085
16 -13.0621 3.08015
17 -13.0714 3.05089
18 -13.2026 3.05424
19 -13.2669 3.05338
20 -13.4396 3.07844
21 -13.5301 3.08802
22 -13.5851 3.05724
23 -13.567 3.02555
24 -13.8242 3.09225
25 -13.7775 3.04948
26 -13.8376 3.03848
27 -13.8463 3.02514
28 -14.1166 3.09353
29 -14.1882 3.08232
